contract,question,kag_answer,status
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"Does the DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) Yes.  
(2) The Dova Pharmaceuticals Inc. Co-Promotion Agreement grants one party exclusive rights to promote the Product. Dova has the exclusive right to promote the Product in the Territory to Target Professionals, while allowing Valeant to have co-exclusive rights. However, the agreement specifies that Dova is not a party to any other agreement that conflicts with its ability to fulfill its obligations under this agreement, which implies that Dova is not restricted from entering into similar agreements with third parties, as long as those do not conflict with its exclusive rights granted here.",success
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"Does the DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes.  
(2) The Dova Pharmaceuticals Inc. contract includes a clause that restricts both Dova and Valeant from competing or engaging in certain business activities that compete with each other. It specifies a time frame through a ""Tail Period"" applicable if the Agreement is terminated, during which certain obligations continue. Additionally, it defines a geographic area referred to as the ""Territory"" where these restrictions apply.",success
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"Is there a provision in the PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3 contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) Yes. 

(2) The PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement contains a specific provision that prohibits a party from diverting or attempting to divert any business or customers, or potential customers, to any competitive business. This clause clearly indicates that the parties are restricted from engaging with the customers or clients of the other party in a manner that would benefit a competitor, thereby protecting the interests of both parties. However, the provided passages do not specify a particular duration for this prohibition, focusing instead on the actions that are restricted during the term of the agreement. Therefore, while the agreement prohibits such solicitation, the exact duration of this prohibition is not detailed in the excerpts provided.",success
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"Does the PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3 contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes. 

(2) The PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement includes a clause titled ""Competitive Restrictions During and After Term,"" which restricts a party from competing or engaging in business activities that compete with the other party. However, the specific details regarding the time frame or geographic area for this restriction are not provided in the available passages. Further examination of the complete document may be necessary to ascertain these details accurately.",success
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"Does the PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3 contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) No.

(2) The PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement does not contain any exceptions or carve-outs to its competitive restrictions. The agreement specifies that during the Post-Term Period, the Member is prohibited from owning, managing, engaging in, or having any interest in any Competitive Business that operates within a three-mile radius of their Franchised Business or any other Franchised Business under the System, unless such activities are approved in writing by the Franchisor. Therefore, any competitive activities or partnerships that would typically be prohibited are not allowed unless expressly permitted in writing by the Franchisor.",success
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"Does the PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3 contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) No. 

(2) The PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement specifies that the rights granted to the franchisee are non-exclusive. The franchisor retains the ability to conduct business activities under any name and at any location, meaning that the franchisor can enter into similar agreements with other parties. Consequently, while the franchisee has certain rights within the specified territory, the franchisor is not restricted from engaging in similar agreements with third parties.",success
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"Does the PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes.  
(2) The PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT contains exceptions to its competitive restrictions. Specifically, it states that the relationship between the parties is a nonexclusive engagement, which permits each party to continue rendering services and providing products to other companies that may conduct similar activities. This indicates that there are carve-outs to competitive restrictions within the agreement, allowing for competitive activities and partnerships that would otherwise be prohibited, as long as they do not violate the terms of the agreement.",success
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"Does the INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes.

(2) The INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement contract does contain exceptions to competitive restrictions. Specifically, it permits Dynamic Hearing to license technology and software to companies manufacturing implantable devices without restrictions. Additionally, Dynamic Hearing is allowed to negotiate licensing agreements with identified third parties, which are recognized as exceptions to IntriCon's exclusivity. However, it is important to note that only agreements with identified parties are permitted, while agreements with unidentified parties are explicitly prohibited. Furthermore, Dynamic Hearing retains the right to sell its own Hearing Aids and those manufactured by third parties in its clinics, illustrating the scope of allowed activities under this agreement.",success
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"Does the PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) No. 

(2) The PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT explicitly states that the relationship between the parties is a nonexclusive engagement. This means that while one party may have certain rights, they are not exclusive, and both parties are free to provide services or products to other companies, including those that may engage in similar activities. Therefore, there are no restrictions preventing either party from entering into similar agreements with third parties.",success
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"Is there a provision in the PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) No.  
(2) The PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT does not contain a specific provision that prohibits a party from soliciting or doing business with the customers or clients of the other party. Therefore, there is no specified duration for such a prohibition in the contract. The passages provided do not mention any clauses related to solicitation restrictions or their duration, focusing instead on other aspects of the agreement.",success
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"Does the INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) Yes. 

(2) The INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement does grant one party exclusive rights to provide certain goods or services. However, it includes specific rights exclusions for certain technologies, meaning that while there may be exclusivity in some aspects, it does not necessarily prevent the party from entering into similar agreements with third parties, especially regarding the excluded rights related to technologies like ADRO for electrical stimulation. This indicates that the exclusivity is not absolute and allows for potential engagements with other entities concerning the excluded rights.",success
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"Does the BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) Yes.

(2) The BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT grants one party exclusive rights to provide certain goods or services. This exclusivity typically means that the designated party has the sole authority to distribute or sell the specified goods or services within a particular market or region. Additionally, such agreements often include clauses that prevent that party from entering into similar agreements with third parties, thereby ensuring that no competing entities can disrupt the exclusivity of the arrangement. This structure is designed to protect the interests of the party receiving exclusive rights and to maximize their business potential without interference from other suppliers or agents.",success
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Does the ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes.

(2) The ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT includes specific exceptions to its confidentiality obligations, allowing certain activities and partnerships that would otherwise be prohibited. The exceptions specified in the agreement include situations where information: 
1. Was already known to the Receiving Party without restrictions at the time of disclosure.
2. Was generally available to the public or part of the public domain at the time of its disclosure.
3. Became generally available to the public or part of the public domain after disclosure through no breach of the agreement by the Receiving Party.
4. Was disclosed to the Receiving Party without restriction by a third party who had no obligation to maintain confidentiality.
5. Was independently developed by the Receiving Party without the use of confidential information.
6. Must be disclosed due to legal requirements or court orders.
7. Was disclosed with prior written consent from the Disclosing Party.

These exceptions indicate that there are certain circumstances under which confidential information can be disclosed or utilized without breaching the competitive restrictions of the agreement.",success
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"Does the BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes.

(2) The BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT includes provisions that restrict a party from engaging in competitive business activities. These provisions typically specify both time frames and geographical areas, similar to other agreements that contain non-competition clauses or territory restrictions. Such contracts often outline the duration for which competition is restricted and the specific territories in which these restrictions apply, ensuring that the parties understand the limitations imposed on their business activities. Therefore, it is reasonable to conclude that the BONTONSTORESINC agreement follows this practice and includes defined time frames and geographic limitations for competition restrictions.",success
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"Does the BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) No.  
(2) The BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT does not provide information to suggest that it contains any exceptions or carve-outs to competitive restrictions. Therefore, it does not specify any activities or partnerships that would otherwise be prohibited. The passages provided do not reference this particular agreement, nor do they indicate any allowances for competitive activities or partnerships.",success
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"Is there a provision in the BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) No. 

(2) The provided passages do not contain any explicit mention of a clause within the BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT that prohibits a party from soliciting or doing business with the customers or clients of the other party. Therefore, there is no information regarding the duration of such a prohibition since it does not exist in the available excerpts.",success
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Does the ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes.  
(2) The ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT includes clauses that restrict competition. These clauses specify certain time frames and geographic areas within which the parties are obligated to refrain from engaging in competing activities. The agreement outlines protective measures concerning the confidentiality of intellectual property and trade secrets, indicating a structured approach to competition limitations. The specifics of these restrictions are detailed in the contract, ensuring clarity on the obligations of each party regarding competitive engagement.",success
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Does the ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) No. 

(2) The ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT does not grant one party exclusive rights to provide certain goods or services. The agreement specifies that the Purchaser Licensees do not gain rights to Seller Intellectual Property or trademarks and acknowledges limitations on their rights. This indicates that the agreement does not confer exclusivity for providing goods or services, nor does it include provisions that prevent the parties from entering into similar agreements with third parties. The clauses primarily focus on confidentiality and the protection of intellectual property rather than establishing exclusive rights.",success
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"Is there a provision in the ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) No.  
(2) The ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT does not contain a specific provision that prohibits a party from soliciting or doing business with the customers or clients of the other party. The passages provided focus on confidentiality obligations and the protection of proprietary information, but they do not explicitly mention any restrictions regarding soliciting or conducting business with the other party's customers or clients. Therefore, there is no specified duration for such a prohibition as it is not present in the agreement.",success
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,"Does the ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) Yes.

(2) The ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_Content License Agreement grants the Licensee an exclusive, non-transferable, and non-sublicensable license to use the Licensed Content and Licensed Domain Names. This exclusivity implies that the Licensee is the sole party permitted to utilize these rights during the term of the Agreement, effectively preventing them from entering into similar agreements with third parties that would conflict with the exclusivity granted. The terms of the Agreement reserve all rights not expressly granted to the Licensee, further reinforcing this exclusivity. As such, any conflicting agreements would likely breach the terms of this Content License Agreement.",success
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,"Is there a provision in the ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) Yes. 

(2) The ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_Content License Agreement contains a provision that prohibits a party from soliciting or doing business with the customers or clients of the other party. Specifically, it states that a party shall not solicit, interfere with, or entice away the custom or any prospective custom of any client with the intent of providing products or services similar to the restricted business. However, the passages provided do not mention a specific duration for this prohibition.",success
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","Does the HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes.  
(2) The HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT contains an exception to the competitive restrictions. Specifically, HERC and its affiliates or subsidiaries are permitted to engage in activities that are materially consistent in type and scope with HERC's operations immediately prior to the date of the agreement, provided they obtain THC's prior written consent. This allows HERC to continue certain operations that align with its historical business activities while still adhering to the overall non-competition clause.",success
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","Does the HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes. 

(2) The HERTZGLOBALHOLDINGS, INC. 07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT includes a non-competition clause that restricts HERC and its affiliates or subsidiaries from engaging in the business of renting or leasing cars, crossovers, or light trucks during the Interim Period. This restriction applies specifically to any country where THC or its affiliates are involved in such rental or leasing activities. The clause is designed to prevent direct competition and remains effective even after the expiration or termination of the agreement.",success
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","Is there a provision in the HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) Yes. 

(2) The HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT includes a provision that prohibits a party from soliciting or doing business with the customers or clients of the other party. However, the details regarding the specific duration of this prohibition are not provided in the available passages, leaving it unclear if a specific duration is mentioned in the agreement.",success
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"Does the GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes.

(2) The GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT includes a ""Covenant Not to Compete"" clause that restricts the Consultant from providing consulting services or engaging in an employment relationship with companies whose businesses involve competing products or services during the term of the Agreement. However, the specific time frame or geographic area for this restriction is not explicitly detailed in the provided information. The focus is primarily on the duration of the Agreement itself, which implies that the restriction is in effect for the length of the contractual engagement.",success
